"Disaster Number","State","County","Program Area","Project Identifier","Application ID","Primary Hazard","Type","Project Title","Project Counties","Status","Subgrantee","Cost Share Percentage","Federal Share Proposed","Project Amount","Federal Share Obligated","Non Federal Share","Date Initially Approved","Date Awarded","Date Approved","Date Closed","Subgrantee Tribal Indicator","Phased Project","Date Received","Date Submitted","Environmental Document Type"
"1005","California","San Diego","HMGP","DR-1005-0030-R","","","300.2: Vegetation Management - Wildfire","FUEL BREAKS AND FUEL MODIFICATION","SAN DIEGO","Void","NORTH COUNTY FIRE ","","","","","","","","","1996/04/04 00:00:00","","","1995/04/12 00:00:00","","CATEX"
"1005","California","San Diego","HMGP","DR-1005-0094-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","Rancho Santa Fe FPD Wildland Education Program","SAN DIEGO","Not Approved / Denied","Rancho Santa Fe","0","","","0","0","","","","1998/08/03 00:00:00","","","1997/06/25 00:00:00","","N/A"
"1005","California","San Diego","HMGP","DR-1005-0022-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","FIRESCAPE DEMONSTRATION GARDEN","SAN DIEGO","Closed","FALLBROOK LAND CONSERV.","0.74992598","7599","10133","7599","2534","","","1995/06/02 00:00:00","1997/07/15 00:00:00","","","1995/03/15 00:00:00","","CATEX"
"1005","California","San Diego","HMGP","DR-1005-0038-R","","","300.2: Vegetation Management - Wildfire","VISTA FIRE PROTECTION DISTRICT VEGETATION MANAGEMENT","SAN DIEGO","Closed","VISTA FIRE PROTECTION","0.75","11652","15536","11652","3884","","","1997/07/15 00:00:00","1997/07/23 00:00:00","","","1995/05/06 00:00:00","","CATEX"
"1005","California","San Diego","HMGP","DR-1005-0035-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","PROJECT FIRE: F'BROOK INTERDP. RESPONSIBILITY FOR ENV. ED.","SAN DIEGO","Closed","FALLBROOK UNION ELEM","0.75000734","51071","84519","51071","17023","","","1995/06/02 00:00:00","1997/07/23 00:00:00","","","1995/05/09 00:00:00","","CATEX"
"1005","California","San Diego","HMGP","DR-1005-0039-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","VEGETATION MANAGEMENT PROGRAM","SAN DIEGO","Void","VISTA","0","0","0","0","0","","","1995/06/02 00:00:00","1997/08/12 00:00:00","","","1995/05/09 00:00:00","","CATEX"
"1005","California","San Diego","HMGP","DR-1005-0024-R","","","300.2: Vegetation Management - Wildfire","BRUSH MANAGEMENT","SAN DIEGO","Closed","SAN MARCOS","0.75072464","259","345","259","86","","","1995/04/20 00:00:00","1996/01/26 00:00:00","","","1995/03/25 00:00:00","","CATEX"
"1005","California","San Diego","HMGP","DR-1005-0066-R","","","90.4: Mitigation Plan - Local Multihazard Mitigation Plan","Fuel Abatement Program","SAN DIEGO","Closed","Pine Valley","0.75","18750","25000","18750","6250","","","1997/06/17 00:00:00","1998/11/09 00:00:00","","","1997/05/05 00:00:00","","CATEX"
"1005","California","San Diego","HMGP","DR-1005-0021-R","","","300.2: Vegetation Management - Wildfire","LOS PENASQUITOS PRESCRIBED BURN","SAN DIEGO","Closed","SAN DIEGO COUNTY","0.74990939","2069","2759","2069","690","","","1995/04/20 00:00:00","1998/08/12 00:00:00","","","1995/03/15 00:00:00","","CATEX"
"1005","California","San Diego","HMGP","DR-1005-0071-R","","","300.2: Vegetation Management - Wildfire","Vegetation Managment Program","SAN DIEGO","Not Approved / Denied","VISTA","0","","","0","0","","","","1998/01/09 00:00:00","","","1997/05/05 00:00:00","","N/A"
"1005","California","San Diego","HMGP","DR-1005-0036-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","VISTA FPD WILDFIRE EDUCATIONAL PROGRAM","SAN DIEGO","Closed","VISTA FIRE PROTECTION","0.74991081","2102","2803","2102","701","","","1995/06/02 00:00:00","1997/07/23 00:00:00","","","1995/05/06 00:00:00","","CATEX"
"1005","California","San Diego","HMGP","DR-1005-0069-R","","","300.2: Vegetation Management - Wildfire","Fuel Reduction Program - City of Del Mar","SAN DIEGO","Closed","City of Del Mar","0.75","56250","75000","56250","18750","","","1997/06/27 00:00:00","2003/10/21 00:00:00","","","1997/05/05 00:00:00","","CATEX"
"1005","California","San Diego","HMGP","DR-1005-0068-R","","","90.4: Mitigation Plan - Local Multihazard Mitigation Plan","Brush Management Program","SAN DIEGO","Withdrawn","SAN DIEGO","0","","","0","0","","","","1997/11/26 00:00:00","","","1997/05/05 00:00:00","","N/A"
"1005","California","Ventura","HMGP","DR-1005-0063-R","","","300.2: Vegetation Management - Wildfire","VENTURA COUNTY FIRE PROTECTION DISTRICT","VENTURA","Withdrawn","VENTURA COUNTY FIRE PROTECTION DISTRICT","0","","","0","0","","","","1997/07/16 00:00:00","","","1997/05/05 00:00:00","","N/A"
"1005","California","Ventura","HMGP","DR-1005-0032-R","","","300.2: Vegetation Management - Wildfire","VEGETATION MANAGEMENT","VENTURA","Closed","Ventura County Fire","0.41442428","197951","477653","197951","279702","","","1995/09/20 00:00:00","2003/02/26 00:00:00","","","1995/04/12 00:00:00","","CATEX"
"1005","California","Ventura","HMGP","DR-1005-0033-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","NEIGHBORHOOD ARSON WATCH EDUCATION PROGRAM","VENTURA","Closed","Ventura County Fire","0.75","4536","6048","4536","1512","","","1995/06/05 00:00:00","2000/03/16 00:00:00","","","1995/05/09 00:00:00","","CATEX"
"1005","California","Ventura","HMGP","DR-1005-0034-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","WILDLAND URBAN INTERFACE FIRE SAFETY EDUCATION","VENTURA","Closed","Ventura County Fire","0.66666667","4000","6000","4000","2000","","","1995/06/02 00:00:00","1997/07/23 00:00:00","","","1995/05/09 00:00:00","","CATEX"
"1005","California","Ventura","HMGP","DR-1005-0064-R","","","300.2: Vegetation Management - Wildfire","Shelf Road Fuel Break","VENTURA","Withdrawn","VENTURA COUNTY FIRE PROTECTION DISTRICT","0","","","0","0","","","","1997/07/16 00:00:00","","","1997/05/05 00:00:00","","N/A"
"1005","California","Ventura","HMGP","DR-1005-0083-R","","","300.2: Vegetation Management - Wildfire","Hazard Reduction - Fairview/Foothill, Ojai","VENTURA","Withdrawn","VENTURA COUNTY FIRE PROTECTION DISTRICT","0","","","0","0","","","","1997/09/18 00:00:00","","","1997/06/25 00:00:00","","N/A"
"1005","California","Ventura","HMGP","DR-1005-0085-R","","","300.2: Vegetation Management - Wildfire","Hazard Reduction Portero Rd/State Park/Nat'l Park/Cosa Boundaries","VENTURA","Withdrawn","VENTURA COUNTY FIRE PROTECTION DISTRICT","","","","","","","","","1997/11/25 00:00:00","","","1997/06/25 00:00:00","","N/A"
"1005","California","Statewide","HMGP","DR-1005-0004-R","","","600.1: Warning Systems (as a Component of a Planned, Adopted, and Exercised Risk Reduction Plan)","CDF ARSON HOTLINE REWARD SYSTEM","STATEWIDE","Closed","Department of Forestry","0.55728365","328862","590116","328862","261254","","","1995/06/27 00:00:00","2000/08/21 00:00:00","","","1995/01/10 00:00:00","","CATEX"
"1005","California","Statewide","HMGP","DR-1005-0076-R","","","300.2: Vegetation Management - Wildfire","Resource Management Program","STATEWIDE","Closed","Cal State University , San Diego","0.50316297","157568","313155","157568","155587","","","1997/08/08 00:00:00","2003/09/12 00:00:00","","","1997/06/18 00:00:00","","CATEX"
"1005","California","Statewide","HMGP","DR-1005-0001-R","","","104.1: Developing, Implementing and Enforcing Codes, Standards, Ordinances and Regulations","URBAN/WILDLAND INTERFACE MODEL CODE DEVELOPMENT","STATEWIDE","Closed","Fire Marshal's Office","0.74999857","130838","174451","130838","43613","","","1995/03/29 00:00:00","1998/11/23 00:00:00","","","1994/10/11 00:00:00","","CATEX"
"1005","California","Statewide","HMGP","DR-1005-0002-R","","","104.1: Developing, Implementing and Enforcing Codes, Standards, Ordinances and Regulations","URBAN/WILDLAND INTERFACE CODE ENFORCEMENT TRAINING","STATEWIDE","Closed","Fire Marshal's Office","0.75","191250","255000","191250","63750","","","1995/03/27 00:00:00","1997/07/23 00:00:00","","","1994/10/11 00:00:00","","CATEX"
"1005","California","Statewide","HMGP","DR-1005-0052-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","CALIFORNIA FIRE BEHAVIOR AND ECOLOGY EDUCATION/FIRE HAZARD MITIGATION PROJECT","STATEWIDE","Void","","","","","","","","","","1998/02/10 00:00:00","","","1996/07/26 00:00:00","","N/A"
"1005","California","Los Angeles","HMGP","DR-1005-0060-R","","","300.2: Vegetation Management - Wildfire","CLAREMONT HILLS VEGETATION MITIGATION","LOS ANGELES","Closed","Claremont","0.75001211","15484","20645","15484","5161","","","1998/05/26 00:00:00","1999/02/19 00:00:00","","","1997/04/24 00:00:00","","FONSI"
"1005","California","Los Angeles","HMGP","DR-1005-0058-R","","","300.2: Vegetation Management - Wildfire","NORTH SIDE CANYON BRUSH CLEARANCE PROJECT","LOS ANGELES","Not Approved / Denied","La Canada-Flintridge","0","","","0","0","","","1997/04/24 00:00:00","1997/12/20 00:00:00","","","1997/04/24 00:00:00","","N/A"
"1005","California","Los Angeles","HMGP","DR-1005-0053-R","","","800.1: Miscellaneous","FUEL FIRE BREAK REFURBISHMMENT","LOS ANGELES","Withdrawn","Glendale Police & Fire Dept","","","","","","","","","1997/06/12 00:00:00","","","1997/04/24 00:00:00","","N/A"
"1005","California","Los Angeles","HMGP","DR-1005-0054-R","","","300.2: Vegetation Management - Wildfire","PUBLIC OPEN SPACE VEGETATION MANAGEMENT","LOS ANGELES","Closed","Glendale Police & Fire Dept","0.75","87000","116000","87000","29000","","","1997/04/24 00:00:00","2004/10/18 00:00:00","","","1997/04/24 00:00:00","","FONSI"
"1005","California","Los Angeles","HMGP","DR-1005-0093-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","Community Safety Partnership","LOS ANGELES","Closed","Beverly Hills","0.75","36441","48588","36441","12147","","","1997/09/26 00:00:00","2000/03/08 00:00:00","","","1997/06/25 00:00:00","","CATEX"
"1005","California","Los Angeles","HMGP","DR-1005-0070-R","","","300.2: Vegetation Management - Wildfire","Whittier Wildnerness Park","LOS ANGELES","Not Approved / Denied","Whittier","0","","","0","0","","","","1998/02/10 00:00:00","","","1997/05/05 00:00:00","","N/A"
"1005","California","Los Angeles","HMGP","DR-1005-0072-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","Public Fire Hazard Education Program","LOS ANGELES","Not Approved / Denied","Malibu","0","","","0","0","","","","1998/01/09 00:00:00","","","1997/05/05 00:00:00","","N/A"
"1005","California","Los Angeles","HMGP","DR-1005-0013-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","FIRESAFE DEMONSTRATION GARDEN","LOS ANGELES","Closed","Malibu","0.75005143","3646","4861","3646","1215","","","1995/04/20 00:00:00","2000/08/03 00:00:00","","","1995/03/15 00:00:00","","CATEX"
"1005","California","Los Angeles","HMGP","DR-1005-0031-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","FIREWISE LANDSCAPE EDUCATION PROGRAM","LOS ANGELES","Closed","Los Angeles County","0.7499947","35393","47191","35393","11798","","","1995/04/20 00:00:00","1998/12/22 00:00:00","","","1995/04/12 00:00:00","","CATEX"
"4344","California","Alameda","HMGP","DR-4344-0028-R","217","Fire","300.2: Vegetation Management - Wildfire","Hayward, Creation of Defensible Space in the Hayward Hills","ALAMEDA","Approved","Hayward","0.75","263997","351996","263997","87999","2020/12/18 00:00:00","","2021/12/30 00:00:00","","No","Yes","2021/12/14 00:00:00","2021/12/13 00:00:00","CATEX"
"1498","California","Los Angeles","HMGP","DR-1498-0013-P","136","Fire","91.1: Local Multihazard Mitigation Plan","City of Rancho Palos Verdes  Multi-Jurisdictional Hazard Mitigation Plan","LOS ANGELES","Closed","Rancho Palos Verdes","0.75","9377.25","12503","9377","3126","2004/10/27 00:00:00","","2006/03/02 00:00:00","2006/01/31 00:00:00","No","","2006/03/02 00:00:00","2006/03/02 00:00:00","CATEX"
"4142","California","Siskiyou","HMGP","DR-4142-0002-R","2","Fire","300.2: Vegetation Management - Wildfire","Karuk Tribe Defensible Space","SISKIYOU","Closed","Karuk Reservation","0.75","63405","84540","63404.94","21135","2015/07/20 00:00:00","","2018/11/21 00:00:00","2018/11/21 00:00:00","Yes","No","2018/11/21 00:00:00","2018/11/21 00:00:00","EA"
"4344","California","Alameda","HMGP","DR-4344-0026-R","82","Earthquake","205.5: Structural Retrofitting/Rehabilitating Private Structures - Seismic","City of Berkeley Retrofit Grants for Seismically Vulnerable Buildings","ALAMEDA","Approved","Berkeley","0.75","4500000","6000000","4500000","1500000","2020/05/18 00:00:00","","2021/12/29 00:00:00","","No","No","2021/12/14 00:00:00","2020/07/02 00:00:00","EA"
"4558","California","Statewide","HMGP","DR-4558-0065","467","Fire","300.2: Vegetation Management - Wildfire","Lick Observatory Vegetation Management Project","STATEWIDE","Pending","UNIVERSITY OF CALIFORNIA, SANTA CRUZ","0.75","150000","200000","","50000","","","","","No","","","2021/11/16 00:00:00",""
"4344","California","San Bernardino","HMGP","DR-4344-0119-R","53","Flood","403.1: Stormwater Management - Culverts","San Bernardino County, West Fontana Channel - Phase 2","SAN BERNARDINO","Approved","SAN BERNARDINO COUNTY FLOOD CONTROL DISTRICT","0.52592771","5000000","9507010","5000000","4507010","2020/05/20 00:00:00","","2022/01/21 00:00:00","","No","Yes","2022/01/21 00:00:00","2022/01/21 00:00:00","EA"
"1498","California","San Diego","HMGP","DR-1498-0019-F","901","Fire","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","Barona HM Plan Finalization, Part 2","SAN DIEGO","Closed","Barona Rancheria (Indian Reservation)","0.75","1335","1780","0","445","","","2005/03/29 00:00:00","2013/04/23 18:01:52","Yes","","2004/12/30 00:00:00","2004/12/29 00:00:00","CATEX"
"4158","California","Orange","HMGP","DR-4158-0004-R","269","Earthquake","205.5: Structural Retrofitting/Rehabilitating Private Structures - Seismic","Anaheim, CA: Earthquake Mitigation at City Hall Complex","ORANGE","Closed","Anaheim","0.6800956","916641.69","1347813","916642","431171","2015/03/20 00:00:00","","2019/03/01 00:00:00","2019/03/01 00:00:00","No","No","2019/02/28 00:00:00","2019/02/28 00:00:00","CATEX"
"4344","California","Alameda","HMGP","DR-4344-0035-R","138","","403.2: Stormwater Management - Diversions","City of Livermore-Arroyo Las Positas Restoration","ALAMEDA","Approved","Livermore","0.75","232635","310180","232635","77545","2019/06/10 00:00:00","","2021/05/14 00:00:00","","No","Yes","2021/04/21 00:00:00","2021/04/20 00:00:00","CATEX"
"4407","California","Los Angeles","HMGP","DR-4407-0113","127","","601.1: Generators"," +Los Angeles, City of - Fire Department, Emergency Power Fire Station 012","LOS ANGELES","Pending","FIRE DEPARTMENT","0.7499931","68397.87","91198","","22800","","","","","No","","","2020/02/11 00:00:00",""
"4344","California","Orange","HMGP","DR-4344-0061-F","58","","601.1: Generators","5% City of Laguna Beach, Irvine Cove Lift Station Emergency Generator","ORANGE","Approved","Laguna Beach","0.749605","299369.75","399370","299369.75","100000","2019/11/04 00:00:00","","2019/11/04 00:00:00","","No","No","2019/08/05 00:00:00","2019/03/30 00:00:00","CATEX"
"4344","California","San Mateo","HMGP","DR-4344-0104","295","Flood","400.1: Utility Protective Measures (Electric, Gas, etc.); 401.1: Water and Sanitary Sewer System Protective Measures"," + Redwood City, Bradford Storm Drainage Pump Station Improvement project","SAN MATEO","Pending","Redwood City","0.71235858","4999999.99","7018937","","2018937","","","","","No","","","2019/03/30 00:00:00",""
"4344","California","Sonoma","HMGP","DR-4344-0032-R","476","Fire","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.); 300.2: Vegetation Management - Wildfire","Wildfire Adapted Sonoma County: Education and Incentives for Safe and Resilient","SONOMA","Pending","Sonoma (County)","0.748752","4999998.88","6677777","","1677778","","","","","No","","2019/11/04 00:00:00","2019/03/29 00:00:00",""
"4407","California","Kern","HMGP","DR-4407-0094","489","Flood","403.1: Stormwater Management - Culverts"," +Erskine Creek Box Culvert","KERN","Pending","Kern (County)","0.75","522225","696300","","174075","","","","","No","","","2020/02/11 00:00:00",""
"4558","California","Tulare","HMGP","DR-4558-0019","304","","91.5: Local Multijurisdictional Multihazard Mitigation Plan - UPDATE","7% Multi-Jurisdictional Local Hazard Mitigation Plan Update_Tulare County","TULARE","Pending","Tulare (County)","0.75","75000","100000","","25000","","","","","No","","","2021/11/16 00:00:00",""
"1506","American Samoa","Statewide","HMGP","DR-1506-0009-R","9","","403.1: Stormwater Management - Culverts; 403.2: Stormwater Management - Diversions; 405.1: Other Minor Flood Control; 500.1: Flood Control - Floodwall","A&E Design for Fagatogo Storm Water Channel project","STATEWIDE","Closed","TERRITORIAL EMERGENCY MGT PLANNING OFFICE (TEMCO)","0.9","40500","45000","40500","4500","2009/09/18 00:00:00","","2009/09/18 00:00:00","2015/07/28 20:29:30","No","","2007/03/07 00:00:00","2007/03/07 00:00:00","CATEX"
"1498","California","San Diego","HMGP","DR-1498-0023-F","131","Fire","600.1: Warning Systems (as a Component of a Planned, Adopted, and Exercised Risk Reduction Plan)","East County Fire Protect. Dist. Crest Emergency Warning System","SAN DIEGO","Closed","EAST COUNTY FIRE PROTECTION DISTRICT","0.75","4517.25","6023","4517","1506","2005/07/01 00:00:00","","2006/12/18 00:00:00","2006/12/18 00:00:00","No","","2006/12/18 00:00:00","2006/12/18 00:00:00","CATEX"
"4344","California","Sonoma","HMGP","DR-4344-0056-P","533","Fire","95.2: Planning Related Activities","7% County of Sonoma, Fire and Emergency Services Department - Sonoma County Comm","SONOMA","Approved","Sonoma (County)","0.75","150000","200000","150000","50000","2019/08/05 00:00:00","","2021/05/17 00:00:00","","No","No","2021/04/21 00:00:00","2021/04/21 00:00:00","CATEX"
"4558","California","Los Angeles","HMGP","DR-4558-0032","530","Fire","300.2: Vegetation Management - Wildfire","Wildfire & Vegetation Management","LOS ANGELES","Pending","GLENDALE FIRE DEPT","0.75","157500","210000","","52500","","","","","No","","","2021/11/16 00:00:00",""
"4407","California","Los Angeles","HMGP","DR-4407-0019-P","123","","91.3: Local Multihazard Mitigation Plan - UPDATE","7% - City of Hawthorne - LHMP Update","LOS ANGELES","Approved","Hawthorne","0.75","37500","50000","37500","12500","2020/03/10 00:00:00","","2021/12/27 00:00:00","","No","No","2021/12/16 00:00:00","2021/12/15 00:00:00","CATEX"
"4344","California","San Diego","HMGP","DR-4344-0136-R","611","Flood","403.2: Stormwater Management - Diversions; 403.5: Floodwater Storage and Diversion","UC San Diego Coastal Flood and Erosion Hazard Mitigation","SAN DIEGO","Approved","UNIVERSITY OF CALIFORNIA, SAN DIEGO","0.75","168750","225000","168750","56250","2021/04/15 00:00:00","","2021/04/15 00:00:00","","No","Yes","2019/07/31 00:00:00","2019/04/02 00:00:00","CATEX"
"4344","California","Statewide","HMGP","DR-4344-0020-R","414","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","Signal Hill,  Emergency Genrator Backup for Critical Infrastructure","LOS ANGELES; STATEWIDE","Closed","Signal Hill","0.75","254713.5","339618","","84904.5","","","","2022/01/25 20:10:43","No","","2020/10/16 00:00:00","2019/03/29 00:00:00","CATEX"
"4407","California","Statewide","HMGP","DR-4407-0152-R","334","","800.1: Miscellaneous","5%, DWR - Alluvial Fans","STATEWIDE","Approved","DEPARTMENT OF WATER RESOURCES","0.75","5290764.75","7054353","5290764.75","1763588.25","2021/01/15 00:00:00","","2021/01/15 00:00:00","","No","Yes","2020/12/11 00:00:00","2020/02/11 00:00:00","CATEX"
"4407","California","Sacramento","HMGP","DR-4407-0123","419","Fire","205.2: Retrofitting Public Structures - Wildfire"," +SMUD Ignition Resistent Construction Electric Utility (Sacramento County)","SACRAMENTO","Pending","SACRAMENTO MUNICIPAL UTILITY DISTRICT","0.75","19896792","26529056","","6632264","","","","","No","","","2020/02/11 00:00:00",""
"4407","California","San Bernardino","HMGP","DR-4407-0130","108","Earthquake","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic"," +Seismic Retrofit of Concrete Reservoirs","SAN BERNARDINO","Pending","San Bernardino","0.7499944","1360759.84","1814360","","453600","","","","","No","","","2020/02/11 00:00:00",""
"4407","California","Butte","HMGP","DR-4407-0157-F","720","Fire","600.1: Warning Systems (as a Component of a Planned, Adopted, and Exercised Risk Reduction Plan)","Early Warning System","BUTTE","Pending","Paradise","0.74999992","2270156","3026875","","756719","","","","","No","","2021/07/12 00:00:00","2021/05/12 00:00:00",""
"4344","California","Marin","HMGP","DR-4344-0031-P","537","","91.5: Local Multijurisdictional Multihazard Mitigation Plan - UPDATE","7% Marin County Multi-Jurisdicitional Local Hazard Mitigation Plan Update","MARIN","Approved","Marin (County)","0.65478451","250000","381805","250000","131805","2019/07/17 00:00:00","","2021/05/17 00:00:00","","No","No","2021/04/21 00:00:00","2021/04/21 00:00:00","CATEX"
"4407","California","Siskiyou","HMGP","DR-4407-0076-R","264","Fire","205.1: Retrofitting Private Structures - Wildfire; 300.2: Vegetation Management - Wildfire","Karuk Tribe, KTHA Fire Safe and Ignition Resistance Mitigation","SISKIYOU","Approved","KARUK TRIBE","0.75","3020016.75","4026689","3020016.75","1006672.25","2021/09/16 00:00:00","","2021/09/16 00:00:00","","No","No","2020/02/11 00:00:00","2020/02/11 00:00:00","EA"
"4407","California","Tuolumne","HMGP","DR-4407-0138","100","Flood","800.1: Miscellaneous"," + Reg - Tuolumne County - Red Hills Road near Serpentine Loop First Crossing","TUOLUMNE","Pending","Tuolumne (County)","0.75","889839","1186452","","296613","","","","","No","","","2020/02/11 00:00:00",""
"4344","California","Riverside","HMGP","DR-4344-0143-F","281","","601.1: Generators","5% Ramona Indian Reservation Generator Project","RIVERSIDE","Closed","Ramona Indian Reservation","0.75","10875","14500","10875","3625","2019/10/04 00:00:00","","2019/10/04 00:00:00","2020/05/12 00:00:00","Yes","No","2019/04/01 00:00:00","2019/04/10 00:00:00","CATEX"
"4482","California","Sonoma","HMGP","DR-4482-0003","56","Fire","601.2: Generators - Regular","Backup Generator at the Cloverdale Citrus Fairgrounds","SONOMA","Pending","Cloverdale Citrus Fairgrounds Assoc.","0.7499993","262814","350419","","87605","","","","","No","","","2022/01/20 00:00:00",""
"4344","California","San Diego","HMGP","DR-4344-0113-R","610","Flood","403.1: Stormwater Management - Culverts","La Mesa, Boulevard Drive Storm Drain Improvement Project","SAN DIEGO","Approved","La Mesa","0.75","1293750","1725000","1293750","431250","2019/08/30 00:00:00","","2021/05/17 00:00:00","","No","No","2021/04/21 00:00:00","2021/04/21 00:00:00","CATEX"
"4407","California","Butte","HMGP","DR-4407-0026-P","249","Other (Specify in Comments)","93.2: Tribal Multihazard Mitigation Plan - NEW","7%, Mechoopda Tribe LHMP Generation","BUTTE","Approved","MECHOOPDA INDIAN TRIBE","0.75","120000","160000","120000","40000","2019/12/13 00:00:00","","2021/12/28 00:00:00","","No","No","2021/12/16 00:00:00","2021/12/15 00:00:00","CATEX"
"1628","California","Nevada","HMGP","DR-1628-0012-R","10","Fire","300.2: Vegetation Management - Wildfire","Nevada County Roadside Vegetation Management for Fire Prevention","NEVADA","Closed","Nevada (County)","0.4144954","524999.87","1266600","","741600","","","","2014/01/28 22:17:03","No","","2009/03/16 00:00:00","2007/09/06 00:00:00",""
"1884","California","Humboldt","HMGP","DR-1884-0005-R","5","Flood","404.1: Localized Flood Control System to Protect Critical Facility; 500.2: Flood Control - Berm, Levee, or Dike","Fortuna Wastewater Treatment Plant (PJ #14) Flood Protection Project","HUMBOLDT","Closed","Fortuna","0.720252","839259.96","1165231","839260","325971","2014/03/27 00:00:00","","2018/02/09 00:00:00","2018/02/09 00:00:00","No","","2018/02/07 00:00:00","2018/02/07 00:00:00","EA"
"1506","American Samoa","Statewide","HMGP","DR-1506-0003-R","2","","400.1: Utility Protective Measures (Electric, Gas, etc.)","ASTCA - Underground Communication Lines- ASPA to Airport","STATEWIDE","Closed","AMERICAN SAMOA TELECOMMUNICATIONS AUTHORITY","0.9","92602.8","102892","92603","10289","2005/08/17 00:00:00","","2015/02/24 00:00:00","2015/07/24 20:53:56","No","","2015/02/24 00:00:00","2015/02/24 00:00:00","CATEX"
"4407","California","Riverside","HMGP","DR-4407-0162-R","437","Flood","403.1: Stormwater Management - Culverts","City of Wildomar, Bundy Canyon Road Flood Control Drainage Improvements","RIVERSIDE","Approved","Wildomar","0.75","409387.5","545850","409387.5","136462.5","2021/07/28 00:00:00","","2021/07/28 00:00:00","","No","Yes","2021/05/27 00:00:00","2021/05/12 00:00:00","CATEX"
"4404","Northern Mariana Islands","Saipan","HMGP","DR-4404-0023-R","21","Typhoon","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","DFEMS, Fire Station 1 & 5 - Concrete Roof","SAIPAN","Pending","DEPARTMENT OF FIRE & EMERGENCY MEDICAL SERVICES","1","212500","212500","","0","","","","","No","","2021/07/19 00:00:00","2021/07/01 00:00:00","CATEX"
"4344","California","Los Angeles","HMGP","DR-4344-0059-R","455","Earthquake","205.6: Structural Retrofitting/Rehabilitating Public Structures - Seismic","LAUSD, HMGP 74th St ES - Main Building","LOS ANGELES","Approved","LOS ANGELES UNIFIED SCHL DIST","0.75","1425424.5","1900566","1425424.5","475141.5","2019/08/05 00:00:00","","2021/12/30 00:00:00","","No","No","2021/12/14 00:00:00","2020/06/23 00:00:00","CATEX"
"4407","California","Los Angeles","HMGP","DR-4407-0154-R","725","Fire","300.2: Vegetation Management - Wildfire; 300.8: Vegetation Management - Post-wildfire burn area restoration","Backup Generator for Lower Encinal Pump Station in Los Angeles County Waterwork","LOS ANGELES","Approved","Los Angeles (County)","0.75","437988","583984","437988","145996","2021/06/10 00:00:00","","2021/06/10 00:00:00","","No","No","2021/03/29 00:00:00","2021/02/23 00:00:00","CATEX"
"4344","California","Sonoma","HMGP","DR-4344-0046-F","199","Other (Specify in Comments)","601.1: Generators","5% Sonoma County DTPW - Charles M. Schulz Sonoma County Airport Generator","SONOMA","Approved","COUNTY OF SONOMA","0.75","359460","479280","359460","119820","2019/10/22 00:00:00","","2021/05/14 00:00:00","","No","Yes","2021/04/21 00:00:00","2021/04/20 00:00:00","CATEX"
"1952","California","Imperial","HMGP","DR-1952-0016-M","200","Flood","700.1: Management Costs - Salaries","Ramona Band of Cahuilla-Management Costs","IMPERIAL","Closed","Ramona Indian Reservation","1","2199","2199","2199","0","2013/03/18 00:00:00","","2013/03/18 00:00:00","2021/04/16 00:00:00","Yes","","2013/03/18 00:00:00","2013/03/18 00:00:00","CATEX"
"1814","Hawaii","Statewide","HMGP","DR-1814-0003-F","5","Earthquake","104.1: Developing, Implementing and Enforcing Codes, Standards, Ordinances and Regulations","Development of Code Standards for Tsunami Design","STATEWIDE","Closed","ACCOUNTING & GENERAL SVC DEPT","0.744325","62351.36","83769","0","21418","","","","2014/01/28 22:39:26","No","","","","CATEX"
"4344","California","Sacramento","HMGP","DR-4344-0085-R","64","Flood","202.3: Elevation of Public Structures - Riverine","Sacramento County, Woodside West Phase 2","SACRAMENTO","Closed","Sacramento (County)","0.75","3638592","4851456","0","1212864","","","2020/02/03 00:00:00","2021/06/10 00:00:00","No","No","2019/04/02 00:00:00","2019/03/30 00:00:00","CATEX"
"4344","California","Santa Cruz","HMGP","DR-4344-0099-R","371","","301.1: Shoreline Stabilization (Riprap, etc.)","Santa Cruz FC & WCD, City of Watsonville Levee Embankment Stabilization Project","SANTA CRUZ","Pending","SANTA CRUZ COUNTY FLOOD CONTROL & WCD, ZONE 7","0.75","1650000","2200000","","550000","","","","","No","No","2019/06/19 00:00:00","2019/03/30 00:00:00",""
